Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-02-10,19.3629,19.5398,19.3067,19.4201,975884.83742954
2006-02-13,19.3629,19.5398,19.3067,19.3629,1062279.7183887
2006-02-14,19.3629,19.4826,19.2423,19.3629,1644002.383362
2006-02-15,19.3067,19.5398,19.3067,19.5398,1185331.2833396
2006-02-16,19.4201,19.4201,18.8886,19.1861,1611502.5860795
2006-02-17,19.2423,19.8999,19.1235,19.8364,2593039.4662866
2006-02-20,19.781,20.1973,19.6595,20.1973,1742819.4090602
2006-02-21,20.0767,20.4304,19.8999,20.4304,1714742.2305021
2006-02-22,20.3732,20.3732,20.0123,20.1347,1270183.5954642
2006-02-23,20.0767,20.3107,20.0123,20.3107,1170796.5139493
2006-02-24,20.1973,20.7278,20.1973,20.7278,1161329.397428
2006-02-27,20.7278,21.087,20.6072,20.6708,1624447.373869
2006-02-28,20.6072,21.087,20.0767,20.5501,2037533.8557658
2006-03-01,20.6072,21.0244,20.3732,20.9047,1643250.3948379
2006-03-02,20.8476,21.2647,20.8476,21.2647,1490789.683386
2006-03-03,21.3209,21.3209,20.8476,21.2013,1427874.045288
2006-03-06,20.9673,21.3209,20.9047,21.3209,1568489.2835523
2006-03-07,21.087,21.1432,20.3107,20.7904,2336559.5563263
2006-03-08,20.7278,20.7904,20.2545,20.3732,1652037.1932957
2006-03-09,20.3732,20.6708,20.2545,20.3732,1221787.2900419
2006-03-10,20.3107,20.4304,19.8364,20.1347,2426135.5031094
2006-03-13,20.1347,20.2545,19.7166,20.0123,1051161.9760308
2006-03-14,19.781,19.8999,19.3067,19.3067,1687250.5444751
2006-03-15,19.7166,20.0123,19.6595,19.8364,1153563.6273767
2006-03-16,19.8999,20.4938,19.8999,20.4938,1327464.8327441
2006-03-17,20.6708,21.087,20.4938,20.9047,3425841.3963656
2006-03-20,20.7904,20.8476,20.3107,20.3732,762343.25166853
2006-03-21,20.5501,20.6072,20.1973,20.1973,1180494.0785668
2006-03-22,20.1347,20.1973,19.781,19.8999,1942845.0485926
2006-03-23,20.0767,20.4304,20.0123,20.3732,1151069.4953512
2006-03-24,20.4938,20.7904,20.4304,20.6708,851122.00240631
2006-03-27,20.6708,20.7278,20.3732,20.7278,648638.61738987
2006-03-28,20.6708,20.7278,20.2545,20.2545,495881.3004937
2006-03-29,19.8999,20.1973,19.5398,20.1347,948149.47183689
2006-03-30,20.3107,20.5501,20.1347,20.2545,1307064.1118172
2006-03-31,20.1973,20.6072,20.1973,20.6072,979933.66713679
2006-04-03,20.4938,21.087,20.4938,21.0244,1213794.379762
2006-04-04,20.9047,20.9673,20.5501,20.8476,1462491.980334
2006-04-05,20.7904,20.9673,20.2545,20.3107,1197155.8067003
2006-04-06,20.4938,20.6072,20.2545,20.5501,1793414.3436863
2006-04-07,20.5501,21.087,20.5501,20.8476,1848914.8456783
2006-04-10,20.8476,21.0244,20.6072,21.0244,1208344.1168963
2006-04-11,20.7904,20.9047,20.6072,20.8476,844775.30747305
2006-04-12,20.7904,21.0244,20.6708,21.0244,379314.25828474
2006-04-13,21.0244,21.3209,20.7904,20.8476,1334519.4113026
2006-04-18,20.9673,21.5604,20.9047,21.3836,1522152.6769026
2006-04-19,21.5604,21.8588,21.3836,21.8588,1143782.2634516
2006-04-20,21.8007,23.1022,21.6801,23.0451,1807122.1462246
2006-04-21,22.8056,23.9919,22.7485,23.7588,2397674.611932
2006-04-24,23.1022,24.4726,23.1022,24.1125,3314227.3342887
2006-04-25,23.815,23.9919,23.4614,23.582,1652682.2274403
2006-04-26,23.5194,23.6382,23.2219,23.4614,2857044.7745999
2006-04-27,23.4614,23.582,22.3957,22.6914,2533794.4583889
2006-04-28,22.3957,22.9879,22.1545,22.9254,2021046.3419824
2006-05-02,22.7485,22.9254,22.4519,22.5091,3168737.4020877
2006-05-04,22.8056,22.9879,22.5716,22.8673,2782754.4831087
2006-05-05,23.1022,23.1657,22.6278,23.0451,1670416.8072364
2006-05-08,22.9254,23.1022,22.7485,22.9254,1753837.9153959
2006-05-09,22.8673,22.9879,22.6278,22.8056,1650239.9186708
2006-05-10,22.6278,22.9254,22.6278,22.8673,1222768.6240396
2006-05-11,22.9254,23.582,22.8673,23.4614,2755261.6944592
2006-05-12,23.1022,23.3978,23.0451,23.3978,1378022.2782062
2006-05-15,23.1022,23.1657,22.5091,22.8673,1001983.9112778
2006-05-16,22.5716,23.0451,22.5091,22.7485,1911402.6662582
2006-05-17,22.7485,22.8673,21.7373,21.7373,1759527.4473375
2006-05-18,21.6176,22.1545,21.5604,21.8007,2005381.3845612
2006-05-19,21.9785,22.2742,21.7373,22.0973,3348308.2921922
2006-05-22,21.8007,22.1545,21.2647,21.3209,3027571.9552112
2006-05-23,21.1432,21.7373,20.6708,21.3209,4650085.3292691
2006-05-24,21.2647,21.4979,20.4938,20.6072,3436343.8753857
2006-05-25,20.4938,21.1432,19.8999,20.7904,3085740.8035789
